YEAR;MONTH;DAY;HOUR;TH;RAIN;RADIATION;WIND;RH
2017;1;7;8;-0.2;0;48;15;53
2017;1;7;9;0.9;0;97;16;50
2017;1;7;10;2;0;129;16;46
2017;1;7;11;3.1;0;143;16;42
2017;1;7;12;3.7;0;139;14;40
2017;1;7;13;4.1;0;117;15;37
2017;1;7;14;4.4;0;77;18;30
2017;1;7;15;3.8;0;30;18;26
2017;1;7;16;3.4;0;2;17;21
2017;1;7;17;3.6;0;0;18;19
2017;1;7;18;3.3;0;0;21;22
2017;1;7;19;3.4;0;0;15;22
2017;1;7;20;2.6;0;0;17;28
2017;1;7;21;3.2;0;0;23;24
2017;1;7;22;2.8;0;0;12;28
2017;1;7;23;2.8;0;0;17;26
2017;1;8;0;2.8;0;0;18;24
2017;1;8;1;3.6;0;0;11;19
2017;1;8;2;3.7;0;0;12;26
2017;1;8;3;4;0;0;20;40
2017;1;8;4;4.2;0;0;21;45
2017;1;8;5;4.3;0;0;18;53
2017;1;8;6;4.5;0;0;19;67
2017;1;8;7;4.7;0;2;17;69
2017;1;8;8;4.6;0;13;20;69
2017;1;8;9;4.8;0;25;19;72
2017;1;8;10;4.9;0;29;23;71
2017;1;8;11;4.9;0;39;28;73
2017;1;8;12;5.5;0;39;29;72
2017;1;8;13;6.2;0;84;27;69
2017;1;8;14;5.6;0;79;28;70
2017;1;8;15;5.4;0;32;29;70
2017;1;8;16;5.1;0;1;29;70
2017;1;8;17;5;0;0;29;71
2017;1;8;18;4.5;0;0;26;73
2017;1;8;19;4.3;0;0;22;73
2017;1;8;20;4.2;0;0;21;74
2017;1;8;21;3.9;0;0;19;74
2017;1;8;22;3.5;0;0;19;75
2017;1;8;23;3;0;0;16;76
2017;1;9;0;3;0;0;17;76
2017;1;9;1;2.6;0;0;17;77
2017;1;9;2;2.1;0;0;17;78
2017;1;9;3;1.9;0;0;17;78
2017;1;9;4;1.7;0;0;17;79
2017;1;9;5;1.8;0;0;17;78
2017;1;9;6;1.8;0;0;15;77
2017;1;9;7;2.1;0;4;15;76
2017;1;9;8;3.7;0;51;16;68
2017;1;9;9;5;0;99;19;63
2017;1;9;10;6;0;133;20;56
2017;1;9;11;6.2;0;149;20;54
2017;1;9;12;6.3;0;147;24;50
2017;1;9;13;6.2;0;123;26;50
2017;1;9;14;5.8;0;83;26;54
2017;1;9;15;4.9;0;33;22;57
2017;1;9;16;4.1;0;1;22;60
2017;1;9;17;4;0;0;20;62
2017;1;9;18;3.5;0;0;18;64
2017;1;9;19;3.6;0;0;19;63
2017;1;9;20;3.5;0;0;14;64
2017;1;9;21;3.4;0;0;14;65
2017;1;9;22;4.2;0;0;13;66
2017;1;9;23;4.3;0;0;12;68
2017;1;10;0;4.2;0;0;7;68
2017;1;10;1;3.9;0;0;7;68
2017;1;10;2;3.9;0;0;5;69
2017;1;10;3;4;0;0;6;70
2017;1;10;4;3.6;0;0;5;73
2017;1;10;5;3;0;0;2;76
2017;1;10;6;2.3;0;0;2;80
2017;1;10;7;2.9;0;5;2;80
2017;1;10;8;2.3;0.5;13;2;88
2017;1;10;9;1.8;1;12;3;94
2017;1;10;10;3;1;36;3;96
2017;1;10;11;3.8;0;57;2;96
2017;1;10;12;4.3;0;51;4;96
2017;1;10;13;6.2;0;72;6;91
2017;1;10;14;6.6;0;55;7;89
2017;1;10;15;7.4;0;25;9;75
2017;1;10;16;6.4;0;1;12;76
2017;1;10;17;5.9;0;0;12;77
2017;1;10;18;5.4;0;0;13;78
2017;1;10;19;5.2;0;0;13;80
2017;1;10;20;5;0;0;14;80
2017;1;10;21;5;0;0;17;81
2017;1;10;22;4.9;0;0;17;80
2017;1;10;23;4.6;0;0;13;80
2017;1;11;0;4.4;0;0;12;80
2017;1;11;1;3.6;0;0;8;82
2017;1;11;2;2.5;0;0;5;85
2017;1;11;3;1;0;0;2;90
2017;1;11;4;0.7;0;0;3;90
2017;1;11;5;-0.4;0;0;1;96
2017;1;11;6;-0.6;0;0;2;97
2017;1;11;7;0.2;0;6;1;100
2017;1;11;8;3.9;0;52;3;84
2017;1;11;9;6;0;101;8;77
2017;1;11;10;8.5;0;129;8;62
2017;1;11;11;9.7;0;149;11;53
2017;1;11;12;10.5;0;144;10;54
2017;1;11;13;10.7;0;120;9;56
2017;1;11;14;10.6;0;80;6;54
2017;1;11;15;9.6;0;30;4;58
2017;1;11;16;7.5;0;3;3;67
2017;1;11;17;4.2;0;0;1;82
2017;1;11;18;2.6;0;0;1;90
2017;1;11;19;1.7;0;0;0;94
2017;1;11;20;1.4;0;0;0;96
2017;1;11;21;1.2;0;0;2;96
2017;1;11;22;0.8;0;0;1;96
2017;1;11;23;0.1;0;0;1;99
2017;1;12;0;0.1;0;0;0;100
2017;1;12;1;0.3;0;0;2;99
2017;1;12;2;5;0;0;3;85
2017;1;12;3;5;0;0;2;85
2017;1;12;4;6.3;0;0;3;81
2017;1;12;5;5.6;0;0;3;83
2017;1;12;6;3.3;0;0;2;93
2017;1;12;7;4.2;0;6;2;91
2017;1;12;8;7.2;0;41;2;81
2017;1;12;9;11.3;0;101;2;67
2017;1;12;10;13.3;0;139;5;58
2017;1;12;11;13.9;0;145;7;54
2017;1;12;12;14.5;0;145;6;53
2017;1;12;13;13.8;0;74;3;53
2017;1;12;14;13.3;0;42;3;56
2017;1;12;15;10.9;0;15;1;69
2017;1;12;16;10.4;0;1;2;72
2017;1;12;17;9.8;0;0;2;79
2017;1;12;18;10;0;0;4;80
2017;1;12;19;9.9;0;0;4;82
2017;1;12;20;9.9;0;0;4;87
2017;1;12;21;9.7;0;0;3;90
2017;1;12;22;10.4;0;0;4;94
2017;1;12;23;10;0;0;3;95
2017;1;13;0;10.2;0;0;6;92
2017;1;13;1;8.7;0;0;2;92
2017;1;13;2;8.4;0;0;5;74
2017;1;13;3;8.3;0;0;5;68
2017;1;13;4;7.8;0;0;4;73
2017;1;13;5;7.2;0;0;6;64
2017;1;13;6;6.3;0;0;7;56
2017;1;13;7;6.3;0;3;8;57
2017;1;13;8;7.1;0;54;8;55
2017;1;13;9;8.4;0;95;9;44
2017;1;13;10;9.1;0;128;10;38
2017;1;13;11;9.6;0;156;10;37
2017;1;13;12;9.2;0;127;12;35
2017;1;13;13;9.1;0;31;14;37
2017;1;13;14;8.9;0;36;13;41
