Year	Month	Day	Tmin	Tmax	Radiation	Rain	Humidity	Wind	UN	UX	-CO2	ETPP
1991	3	17	7.6	14.5	950	1.5	78.5	2.3	62	95	-999	1.6
1991	3	18	7.8	13.2	1060	1	72	2	52	92	-999	1.8
1991	3	19	2.1	11.1	270	2.5	89	3.1	82	96	-999	0.3
1991	3	20	9.4	16	830	0	85.5	2.1	74	97	-999	1.4
1991	3	21	8.1	19.1	1020	14	75.5	2.6	53	98	-999	2
1991	3	22	7.1	11.9	930	4	81	1.2	65	97	-999	1.3
1991	3	23	1.7	13.1	1110	1.5	76.5	1.4	56	97	-999	1.3
1991	3	24	7.6	11.8	610	0	80	5.2	70	90	-999	1.9
1991	3	25	7.5	9	250	0	83.5	4.5	78	89	-999	1.1
1991	3	26	5.5	10.1	280	9.5	91	1.4	86	96	-999	0.5
1991	3	27	5.4	8.7	260	1.5	88	2	79	97	-999	0.5
1991	3	28	1.4	11.2	1910	0	63	4	38	88	-999	2.8
1991	3	29	-0.9	10.1	1980	0	53.5	3.9	35	72	-999	2.9
1991	3	30	-1.5	10.9	1930	0	60	2.9	40	80	-999	2.4
1991	3	31	0.6	13.5	1960	0	58.5	3.2	36	81	-999	2.8
1991	4	1	2	17	1900	0	62	1.2	39	85	-999	2.4
1991	4	2	0.5	17.3	1890	0	68	1.6	43	93	-999	2.3
1991	4	3	0.9	14.7	910	0	72.5	2	49	96	-999	1.6
1991	4	4	3.5	12.7	1430	1	70	3.4	48	92	-999	2.3
1991	4	5	4.6	11.8	1280	0	68.5	2.3	45	92	-999	2.2
1991	4	6	0.3	14.5	1940	0	65.5	1.5	39	92	-999	2.3
1991	4	7	6.5	13.5	1100	0	66	2.7	50	82	-999	2.4
1991	4	8	1.8	14.6	1410	0	73.5	1.9	52	95	-999	2
1991	4	9	3.1	16.8	1650	0	67	1.7	41	93	-999	2.4
1991	4	10	4.3	19.4	2180	0	62.5	1.7	39	86	-999	3.1
1991	4	11	3.6	22.4	2060	0	54.5	1.2	21	88	-999	3.1
1991	4	12	3.2	20.8	1990	0	63	1.3	38	88	-999	2.9
1991	4	13	5.9	20.5	2020	4.5	67.5	1.7	42	93	-999	3.1
1991	4	14	4.2	19.8	2080	0.5	69.5	1.4	42	97	-999	2.9
1991	4	15	5.2	20.6	2220	0	56	2.8	26	86	-999	3.7
1991	4	16	7.3	20.5	2210	0	52.5	4.1	29	76	-999	4.7
1991	4	17	0.8	9	2090	0	58.5	6.2	39	78	-999	3.7
1991	4	18	1.4	8.5	1940	0.5	62.5	4.9	35	90	-999	3.2
1991	4	19	0.9	5.5	710	12.5	85	2.2	76	94	-999	1.1
1991	4	20	-0.1	4.9	810	0.5	81	2.7	66	96	-999	1.3
1991	4	21	-2.5	9.8	1970	0	60.5	1.1	32	89	-999	2.2
1991	4	22	-3.2	9.8	1330	3.5	68.5	1.6	41	96	-999	1.7
1991	4	23	0.5	9.6	1420	0.5	72.5	1.8	50	95	-999	1.9
1991	4	24	-2.2	12.2	2370	0	64.5	1.1	35	94	-999	2.6
1991	4	25	-1	14	2040	0.5	66	1.6	43	89	-999	2.5
1991	4	26	3.8	16.7	1960	0	61	2	29	93	-999	3.2
1991	4	27	2.6	15.6	1480	4.5	71.5	1.7	48	95	-999	2.4
1991	4	28	6	15	1760	0	74	1.4	50	98	-999	2.6
1991	4	29	0.9	17.2	2330	2.5	53.5	1.6	18	89	-999	3.2
1991	4	30	8	13.5	700	13	83.5	3.5	70	97	-999	1.4
1991	5	1	7.4	9.7	720	1.5	90	3.7	82	98	-999	1.5
1991	5	2	4.7	9.8	700	0.5	77.5	4.8	67	88	-999	1.8
