year	month	day	tmin	tmean	tmax	radiation	rain	UM	wind	UN	UX	CO2	ETP
2017	3	11	8.1	10.85	13.6	813	0	79	2.7	61	94	-999	1.8
2017	3	12	1.2	9.65	18.1	1765	0.5	69	0.8	23	97	-999	1.9
2017	3	13	1.9	12.6	23.3	1814	0	63	0.6	24	95	-999	2.2
2017	3	14	3.3	11.55	19.8	1645	0.5	67	2	30	93	-999	2.3
2017	3	15	10.1	12.85	15.6	1097	0	76	2.1	52	96	-999	2
2017	3	16	3.2	11.05	18.9	1960	0	62	0.9	24	95	-999	2.3
2017	3	17	1.8	11.15	20.5	1961	0.5	60	1.8	30	93	-999	2.6
2017	3	18	2.2	12.3	22.4	1937	0	56	1.2	23	93	-999	2.6
2017	3	19	3.5	13.15	22.8	1970	0	49	1.3	15	89	-999	2.8
2017	3	20	2.3	10.65	19	2075	0	44	1.8	15	80	-999	3
2017	3	21	0.1	7.7	15.3	2073	0	45	1.7	18	89	-999	2.6
2017	3	22	-0.4	7.95	16.3	2078	0	41	2.1	23	81	-999	2.9
2017	3	23	4.3	11.05	17.8	2001	0	50	2.2	30	74	-999	3.1
2017	3	24	6.5	9.95	13.4	1368	2	59	3.6	28	90	-999	3.1
2017	3	25	0.8	7.8	14.8	1975	0	59	3	31	85	-999	2.8
2017	3	26	8.3	12.45	16.6	1934	0	67	2.4	44	87	-999	3.1
2017	3	27	5.2	10.8	16.4	1592	0	69	1.4	45	89	-999	2.3
2017	3	28	3.4	7	10.6	534	5	82	1.6	59	94	-999	1.1
2017	3	29	5.6	9.95	14.3	1823	0	66	3	35	92	-999	3.1
2017	3	30	1.6	7.8	14	2252	0	51	2.1	28	82	-999	3
2017	3	31	6.1	8.85	11.6	669	2	61	1.8	46	73	-999	1.9
2017	4	1	7.9	10.8	13.7	710	0	72	2.2	54	90	-999	1.8
2017	4	2	8.6	10.65	12.7	514	1	79	2	65	91	-999	1.4
2017	4	3	8	11.65	15.3	1073	0.5	81	1	61	96	-999	1.8
2017	4	4	3.2	10.65	18.1	1477	0	79	1.1	49	98	-999	2.1
2017	4	5	8.5	14	19.5	1832	0	71	1.1	45	93	-999	2.8
2017	4	6	4.8	12.9	21	2269	7	74	4.2	47	96	-999	3.7
2017	4	7	8.3	9.1	9.9	495	13	90	2.3	84	95	-999	1
2017	4	8	7.2	10.8	14.4	1049	0.5	79	0.9	54	94	-999	1.8
2017	4	9	4	11.75	19.5	2384	0	77	4.6	56	97	-999	3.6
2017	4	10	11.2	13.6	16	796	4.5	78	6.7	64	93	-999	3.3
2017	4	11	6.6	8.15	9.7	427	16.5	92	2.3	88	96	-999	0.9
2017	4	12	5.9	7.4	8.9	472	11.5	91	2.6	83	95	-999	0.9
2017	4	13	7.4	11.45	15.5	1299	0	82	2	62	95	-999	2.2
2017	4	14	5.2	12.85	20.5	2196	0	78	2.5	52	98	-999	3.3
2017	4	15	8.9	13.35	17.8	1178	3	80	2.1	62	95	-999	2.4
2017	4	16	3.3	10.85	18.4	1589	20	80	1.2	38	98	-999	2.4
2017	4	17	7.1	11.05	15	1187	5	84	1.4	55	97	-999	2
2017	4	18	5.2	11.35	17.5	2203	0	74	1	41	97	-999	3
2017	4	19	4.5	11.45	18.4	1899	1	73	2.1	41	97	-999	3
2017	4	20	8.3	10.25	12.2	478	33	88	2.7	72	95	-999	1
2017	4	21	10.6	13.95	17.3	940	0.5	83	4.1	70	95	-999	2.5
2017	4	22	10.3	15.3	20.3	2353	0	70	3.5	43	89	-999	4.5
2017	4	23	8.5	15.8	23.1	2657	0	62	1.8	29	93	-999	4.5
